vehicle;71.17;72.04;72.43;67.69;67.85
sonar;47.57;49.19;49.19;46.60;49.19
ionosphere;50.29;55.81;77.71;77.71;77.71
pima;74.39;73.35;69.79;68.06;68.06
liver;66.86;68.60;66.47;58.14;62.79
breast;96.01;95.77;95.19;94.84;95.19
blood;78.07;77.18;77.63;72.10;72.19
banana;89.13;90.47;90.00;55.53;56.40
lithuanian;91.89;92.78;92.78;55.00;58.22
