vehicle;81.20;79.86;78.52;75.67;77.41
sonar;77.02;77.35;75.73;70.23;79.29
ionosphere;85.52;84.57;84.76;78.48;78.48
pima;74.22;73.52;73.00;65.62;71.53
liver;59.11;61.43;63.57;55.81;61.05
breast;96.48;95.66;96.24;92.84;94.25
blood;72.19;76.11;76.56;61.23;66.22
banana;91.20;93.40;94.20;52.33;56.27
lithuanian;90.11;91.78;92.00;46.56;51.56
