vehicle;72.91;71.09;71.09
pima;74.13;74.74;73.09
liver;65.31;67.64;69.38
breast;96.83;96.01;94.95
blood;77.45;76.47;76.65
banana;91.33;90.93;90.80
lithuanian;92.00;90.67;90.67
