vehicle;71.56;70.38;70.85
pima;76.74;76.48;73.78
liver;64.34;62.60;62.40
breast;96.83;97.07;96.24
blood;78.52;78.07;77.36
banana;92.40;92.93;92.73
lithuanian;93.44;93.00;93.11
