vehicle;73.78;70.93;71.17
pima;74.57;74.74;72.66
liver;64.73;67.44;69.38
breast;96.83;96.01;94.95
blood;77.09;76.47;76.65
banana;91.27;90.40;90.87
lithuanian;91.78;90.78;90.78
